dataset,k,method,tradeoff,risk,return,active_count,hhi,effective_n,top1_share,top3_share
port4,2,weighted_sum,min_risk,0.00029164454718486423,0.0019440297015902975,2,0.5097979327850263,1.9615615044513808,0.5699926167,1.0
port4,2,weighted_sum,balanced,0.0010900617270479772,0.007747335149082778,2,0.5352655654624601,1.8682315181923155,0.6327884887,1.0
port4,2,weighted_sum,max_return,0.002935077094570708,0.009194561000087175,2,0.9980020000000001,1.002001999995992,0.999,1.0
port4,2,epsilon_constraint,min_risk,0.00046798865650903097,0.0032813476916997604,2,0.6316958802644057,1.5830402433231558,0.7566085348,1.0
port4,2,epsilon_constraint,balanced,0.0011287745073085649,0.007830180829780526,2,0.5130621406692308,1.9490816428115598,0.5808150378,1.0
port4,2,epsilon_constraint,max_return,0.0029350770945674367,0.009194561000082055,2,0.9980020000000001,1.002001999995992,0.999,1.0
port4,2,nsga2,min_risk,0.0003247448669705384,0.0019332719475737643,2,0.504867563027914,1.9807174657895583,0.5493333712,1.0
port4,2,nsga2,balanced,0.001074010516110965,0.007670753361231224,2,0.5654006198913717,1.7686574170932572,0.6808322702,1.0
port4,2,nsga2,max_return,0.00287962551298649,0.00918777013667246,2,0.9676045777718201,1.0334800216662672,0.983531063,1.0
port4,4,weighted_sum,min_risk,0.00019593133674444997,0.0018506209538814921,4,0.28672381474708447,3.487676811506179,0.3962093315,0.8727117145000001
port4,4,weighted_sum,balanced,0.0008187305396224311,0.0076184941213630845,4,0.2901696270781555,3.4462600723219587,0.4161760794,0.8342944298
port4,4,weighted_sum,max_return,0.0029266255029006512,0.009191907000080038,4,0.994012,1.0060240721439984,0.997,0.999
port4,4,epsilon_constraint,min_risk,0.0003134221871617823,0.004392084657421955,4,0.28920448969374707,3.457760981024013,0.4091449909,0.8632279550999999
port4,4,epsilon_constraint,balanced,0.0010170637444525136,0.008179327269600828,4,0.2771619231449661,3.6079992109051804,0.3924677221,0.8045723102
port4,4,epsilon_constraint,max_return,0.00232409224914329,0.009098504497175449,4,0.6607465670825963,1.5134395694484108,0.7844170187,0.999
port4,4,nsga2,min_risk,0.0002272662541319611,0.0025337551091182257,4,0.2671358429638945,3.743413796160472,0.327845246,0.8535401621
port4,4,nsga2,balanced,0.00045514914948547696,0.0059744931626747365,4,0.2763813062690587,3.618189715864844,0.3380936838,0.8624535206999999
port4,4,nsga2,max_return,0.0010010509479107385,0.007865055157978152,4,0.2718309453413138,3.678757025784498,0.352561278,0.8535713449
port4,8,weighted_sum,min_risk,0.00015073524709442878,0.002378488885845632,8,0.1442794951630138,6.93099181467299,0.2446543174,0.5082975162
port4,8,weighted_sum,balanced,0.0007344897905873485,0.007533463275167707,8,0.17704317405681297,5.648339764170185,0.3013710085,0.6136914041
port4,8,weighted_sum,max_return,0.0029092998886772053,0.009179591000048762,8,0.9860559999999999,1.0141411846791664,0.993,0.995
port4,8,epsilon_constraint,min_risk,0.00026851409951184817,0.004869433825091721,8,0.14298289508849993,6.993843559966004,0.2158315623,0.5187570567
port4,8,epsilon_constraint,balanced,0.0007619639548517768,0.0076081481025087,8,0.18436928596837204,5.4238969074900405,0.3100943744,0.6336417649
port4,8,epsilon_constraint,max_return,0.0016789487407605317,0.008870898935528311,8,0.3409461116956808,2.9330148246200642,0.4313550973,0.9877822258
port4,8,nsga2,min_risk,0.00017394279762098557,0.003271884222529873,8,0.13844651653411486,7.223005858392892,0.2164807859,0.48986609699999994
port4,8,nsga2,balanced,0.00042992509620285406,0.0062750971739975216,8,0.13633248051700408,7.33500920842759,0.1885893988,0.4954267746
port4,8,nsga2,max_return,0.0009093686041774652,0.007833326053921424,8,0.16700148056098696,5.987970864933811,0.2321299823,0.6062089863
port5,16,weighted_sum,min_risk,0.0003057404995575104,5.6393591727234825e-05,16,0.1071359173204959,9.333937908129457,0.1756492452,0.43112655949999995
port5,16,weighted_sum,balanced,0.000590214283666759,0.003373411659564446,16,0.22587850049162517,4.427158839037347,0.3606898753,0.7245703791
port5,16,weighted_sum,max_return,0.0016217181784431499,0.003952725000013815,16,0.97024,1.0306728232189974,0.985,0.987
